,Date,Cases,Deaths,Recovered,Travel_history,Province,City
805,4/17/2020,4,0,0,Local - Social Contact,Punjab,Laiya
806,4/18/2020,9,1,2,Local - Social Contact,Islamabad Capital Territory,Islamabad
807,4/18/2020,138,1,11,Unknown,Sindh,Karachi
808,4/18/2020,1,0,0,Local - Social Contact,Sindh,Kambar Shahdadkot
809,4/18/2020,9,0,0,Local - Social Contact,Sindh,Kashmore
810,4/18/2020,6,0,0,Local - Social Contact,Sindh,Mirpurkhas
811,4/18/2020,4,0,0,Local - Social Contact,Sindh,Tharparkar
812,4/18/2020,0,0,0,Iran/Taftan,Sindh,Sukkur
813,4/18/2020,43,5,0,Unknown,Khyber Pakhtunkhwa,Peshawar
814,4/18/2020,41,0,0,Afghanistan,Khyber Pakhtunkhwa,Peshawar
815,4/18/2020,7,0,1,Local - Social Contact,Gilgit-Baltistan,Gilgit
816,4/18/2020,8,0,0,Local - Social Contact,Baluchistan,Quetta
817,4/18/2020,2,0,25,India,Punjab,Lahore
818,4/18/2020,5,4,0,Local - Social Contact,Punjab,Lahore
819,4/18/2020,2,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan
820,4/18/2020,7,0,0,Local - Social Contact,Punjab,Gujrat
821,4/18/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi
822,4/18/2020,1,0,0,Local - Social Contact,Punjab,Chakwal
823,4/18/2020,1,0,0,Local - Social Contact,Punjab,Attock
824,4/19/2020,8,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
825,4/19/2020,0,0,29,Tableeghi Jamaat,Punjab,Lahore
826,4/19/2020,182,8,0,Unknown,Sindh,Karachi
827,4/19/2020,3,0,0,Local - Social Contact,Sindh,Umerkot
828,4/19/2020,2,0,0,Local - Social Contact,Sindh,Shikarpur
829,4/19/2020,10,0,0,Local - Social Contact,Sindh,Jacobabad
830,4/19/2020,1,0,0,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
831,4/19/2020,6,0,1,Local - Social Contact,Gilgit-Baltistan,Gilgit
832,4/19/2020,60,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
833,4/19/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
834,4/19/2020,0,1,0,Local - Social Contact,Federal Administration Tribal Area,Mohmand
835,4/19/2020,0,4,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
836,4/19/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
837,4/19/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
838,4/19/2020,0,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
839,4/19/2020,0,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
840,4/19/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
841,4/19/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Lakki Marwat
842,4/19/2020,0,0,4,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
843,4/19/2020,0,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
844,4/19/2020,0,0,8,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
845,4/19/2020,0,0,15,Local - Social Contact,Khyber Pakhtunkhwa,Buner
846,4/19/2020,0,0,4,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
847,4/19/2020,56,0,0,Local - Social Contact,Baluchistan,Quetta
848,4/19/2020,3,0,0,Jail,Punjab,Lahore
849,4/19/2020,36,0,0,Local - Social Contact,Punjab,Lahore
850,4/19/2020,3,0,0,Local - Social Contact,Punjab,Multan
851,4/19/2020,0,0,4,Local - Social Contact,Punjab,Gujrat
852,4/19/2020,15,0,0,Local - Social Contact,Punjab,Gujranwala
853,4/19/2020,32,0,0,Local - Social Contact,Punjab,Rawalpindi
854,4/19/2020,1,0,0,Local - Social Contact,Punjab,Narowal
855,4/19/2020,2,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
856,4/19/2020,29,0,0,Local - Social Contact,Punjab,Sargodha
857,4/19/2020,13,0,0,Local - Social Contact,Punjab,Attock
858,4/19/2020,1,0,0,Local - Social Contact,Punjab,Sahewal
859,4/19/2020,23,0,0,Local - Social Contact,Punjab,Sialkot
860,4/19/2020,0,0,1,Local - Social Contact,Punjab,Hafizabad
861,4/19/2020,7,0,0,Local - Social Contact,Punjab,Nankana
862,4/19/2020,0,0,4,Local - Social Contact,Punjab,Bahawalpur
863,4/19/2020,76,0,0,Local - Social Contact,Punjab,Lodhran
864,4/19/2020,5,0,0,Local - Social Contact,Punjab,Khanewal
865,4/19/2020,5,0,0,Local - Social Contact,Punjab,Toba Tek Singh
866,4/19/2020,3,0,0,Local - Social Contact,Punjab,Sheikhupura
867,4/19/2020,1,0,0,Local - Social Contact,Punjab,Bhakhar
868,4/20/2020,33,1,0,Local - Social Contact,Baluchistan,Quetta
869,4/20/2020,150,5,10,Local - Social Contact,Sindh,Karachi
870,4/20/2020,57,0,0,Unknown,Sindh,Larkana
871,4/20/2020,6,0,0,Jail,Sindh,Karachi
872,4/20/2020,1,0,0,Local - Social Contact,Sindh,Dadu
873,4/20/2020,18,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
874,4/20/2020,334,1,0,Local - Social Contact,Punjab,Lahore
875,4/20/2020,98,5,11,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
876,4/20/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
877,4/20/2020,0,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Kurrum
878,4/20/2020,0,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
879,4/20/2020,0,0,4,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
880,4/20/2020,0,0,15,Local - Social Contact,Khyber Pakhtunkhwa,Swat
881,4/20/2020,0,0,17,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
882,4/20/2020,0,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
883,4/20/2020,10,1,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
884,4/21/2020,0,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
885,4/21/2020,69,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Karak
886,4/21/2020,0,0,7,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
887,4/21/2020,0,0,8,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
888,4/21/2020,26,5,2,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
889,4/21/2020,2,0,0,Afghanistan,Khyber Pakhtunkhwa,Peshawar
